
[21 Sep 2020 12:21:08.447]  |Total tempFile count=3
[21 Sep 2020 12:21:09.111]  |Temporary Folder 67601913 Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Temp\67601913
[21 Sep 2020 12:21:09.164]  |Temporary Folder ExtractedImages Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Temp\ExtractedImages

[21 Sep 2020 12:21:09.166]  |Total logFile count=7
[21 Sep 2020 12:21:09.376]  |Outdated log File CLEAR_LOG_2020-09-20.log Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\CLEAR_LOG_2020-09-20.log
[21 Sep 2020 12:21:09.379]  |Log File CLEAR_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\CLEAR_LOG_2020-09-21.log
[21 Sep 2020 12:21:09.541]  |Outdated log File ERROR_LOG_2020-09-20.log Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\ERROR_LOG_2020-09-20.log
[21 Sep 2020 12:21:09.572]  |Outdated log File PROCESS_LOG_14376.log Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_14376.log
[21 Sep 2020 12:21:09.573]  |Log File PROCESS_LOG_3848.log skipped because this file is associated with currently running process (3848). FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_3848.log
[21 Sep 2020 12:21:09.681]  |Outdated log File SOFTWAREUPDATE_LOG_2020-09-20.log Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\SOFTWAREUPDATE_LOG_2020-09-20.log
[21 Sep 2020 12:21:09.682]  |Log File SOFTWAREUPDATE_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\SOFTWAREUPDATE_LOG_2020-09-21.log

[21 Sep 2020 12:23:29.935]  |Total tempFile count=2

[21 Sep 2020 12:23:30.112]  |Total logFile count=4
[21 Sep 2020 12:23:30.114]  |Log File CLEAR_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\CLEAR_LOG_2020-09-21.log
[21 Sep 2020 12:23:30.368]  |Log File PROCESS_LOG_14512.log skipped because this file is associated with currently running process (14512). FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_14512.log
[21 Sep 2020 12:23:30.971]  |Outdated log File PROCESS_LOG_3848.log Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_3848.log
[21 Sep 2020 12:23:30.971]  |Log File SOFTWAREUPDATE_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\SOFTWAREUPDATE_LOG_2020-09-21.log

[21 Sep 2020 12:26:48.213]  |Total tempFile count=2

[21 Sep 2020 12:26:48.240]  |Total logFile count=4
[21 Sep 2020 12:26:48.240]  |Log File CLEAR_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\CLEAR_LOG_2020-09-21.log
[21 Sep 2020 12:26:48.240]  |Log File PROCESS_LOG_14420.log skipped because this file is associated with currently running process (14420). FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_14420.log
[21 Sep 2020 12:26:48.311]  |Outdated log File PROCESS_LOG_14512.log Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_14512.log
[21 Sep 2020 12:26:48.311]  |Log File SOFTWAREUPDATE_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\SOFTWAREUPDATE_LOG_2020-09-21.log

[21 Sep 2020 12:31:47.246]  |Total tempFile count=2

[21 Sep 2020 12:31:47.280]  |Total logFile count=4
[21 Sep 2020 12:31:47.281]  |Log File CLEAR_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\CLEAR_LOG_2020-09-21.log
[21 Sep 2020 12:31:47.291]  |Outdated log File PROCESS_LOG_14420.log Successfully deleted. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_14420.log
[21 Sep 2020 12:31:47.292]  |Log File PROCESS_LOG_16108.log skipped because this file is associated with currently running process (16108). FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\PROCESS_LOG_16108.log
[21 Sep 2020 12:31:47.293]  |Log File SOFTWAREUPDATE_LOG_2020-09-21.log skipped. FilePath : I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Logs\SOFTWAREUPDATE_LOG_2020-09-21.log
